id_paket,nama_paket,kode_rup,kategori_paket,tipe_bangunan,jenis_pengadaan,jenis_pemilihan,metode_kualifikasi,metode_pengadaan,sistem_evaluasi,jenis_kontrak,kualifikasi_usaha,tahun_anggaran,tahun_anggaran_full,tahun_anggaran_detail,tahapan_status,pagu_anggaran_rp,hps_rp,nilai_penawaran_rp,nilai_kontrak_rp,pct_hps_vs_pagu,pct_kontrak_vs_hps,instansi_kl,satker,balai_snvt,provinsi,kabupaten_kota,lokasi_pekerjaan,tgl_pengumuman,tgl_kontrak,tgl_selesai,durasi_hari,durasi_bulan,pemenang,npwp_pemenang,lpse_instansi,url_detail,tgl_scraping
10069011000,Pembangunan Embung KIPP 1B,59871353,Pekerjaan Konstruksi,Embung,Pekerjaan Konstruksi,Tender,Prakualifikasi Dua File,Tender - Prakualifikasi Dua File - Harga Terendah Ambang Batas,Harga Terendah Ambang Batas,Harga Satuan,Besar,2027,"2025,2026,2027",APBN 2025      APBN 2027      APBN 2026,Tender Sudah Selesai,331571000000.0,331600000000.0,,,100.01,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"Ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-07,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10069011000/pengumumanlelang,2026-06-14 09:14
10069347000,Pembangunan Embung KIPP 1C,59871446,Pekerjaan Konstruksi,Embung,Pekerjaan Konstruksi,Tender,Prakualifikasi Dua File,Tender - Prakualifikasi Dua File - Harga Terendah Ambang Batas,Harga Terendah Ambang Batas,Harga Satuan,Besar,2027,"2025,2026,2027",APBN 2025      APBN 2027      APBN 2026,Tender Sudah Selesai,263428000000.0,263400000000.0,,,99.99,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"Ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-07,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10069347000/pengumumanlelang,2026-06-14 09:15
10067212000,Supervisi Pembangunan Embung KIPP 1B,60037533,Jasa Konsultansi Konstruksi,Embung,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi,Prakualifikasi Dua File,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,Kualitas dan Biaya,Waktu Penugasan,,2027,"2025,2026,2027",APBN 2026      APBN 2027      APBN 2025,Tender Sudah Selesai,17500000000.0,17500000000.0,,,100.0,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"Ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-02,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10067212000/pengumumanlelang,2026-06-14 09:15
10067213000,Supervisi Pembangunan Embung KIPP 1C,60037567,Jasa Konsultansi Konstruksi,Embung,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi,Prakualifikasi Dua File,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,Kualitas dan Biaya,Waktu Penugasan,,2027,"2025,2026,2027",APBN 2026      APBN 2025      APBN 2027,Tender Sudah Selesai,14500000000.0,14500000000.0,,,100.0,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"Ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-02,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10067213000/pengumumanlelang,2026-06-14 09:15
10069348000,Pembangunan Kolam Retensi,59879718,Pekerjaan Konstruksi,Kolam Retensi / Long Storage,Pekerjaan Konstruksi,Tender,Prakualifikasi Dua File,Tender - Prakualifikasi Dua File - Harga Terendah Ambang Batas,Harga Terendah Ambang Batas,Harga Satuan,Besar,2027,"2025,2026,2027",APBN 2027      APBN 2025      APBN 2026,Tender Sudah Selesai,366599000000.0,355000000000.0,,,96.84,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-07,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10069348000/pengumumanlelang,2026-06-14 09:14
10067214000,Supervisi Pembangunan Kolam Retensi,60037630,Jasa Konsultansi Konstruksi,Kolam Retensi / Long Storage,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi,Prakualifikasi Dua File,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,Kualitas dan Biaya,Waktu Penugasan,,2027,"2025,2026,2027",APBN 2025      APBN 2027      APBN 2026,Tender Sudah Selesai,18000000000.0,18000000000.0,,,100.0,,Otorita Ibu Kota Nusantara (OIKN),Otorita Ibu Kota Nusantara,Otorita Ibu Kota Nusantara,Kalimantan Timur,Penajem Paser Utara,"Ibu Kota Nusantara, Nusantara - Penajem Paser Utara (Kab.)",2025-08-02,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10067214000/pengumumanlelang,2026-06-14 09:15
10128952000,Pekerjaan Penanganan Rembesan Bendungan Tamblang di kabupaten buleleng; 1 Unit; 0 Juta M3; F; K; MYC,66408078,Pekerjaan Konstruksi,Bendungan,Pekerjaan Konstruksi,Tender,Prakualifikasi Dua File,Tender - Prakualifikasi Dua File - Harga Terendah Ambang Batas,Harga Terendah Ambang Batas,Harga Satuan,Besar,2026,2026,APBN 2026,Tender Gagal,122964156000.0,123000000000.0,,,100.03,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-04-16,,,,,"Persyaratan Kualifikasi Administrasi/LegalitasMemenuhi ketentuan peraturan perundang-undangan untuk menjalankan kegiatan/usaha.Jenis IzinBidang Usaha/Sub Bidang Usaha/Klasifikasi/Sub KlasifikasiMemiliki Nomor Induk Berusaha NIB dan Sertifikat Standar terverifikasi untuk Badan Usaha yang memiliki SBU KBLI 2020sesuai ketentuan yang berlakuSertifikat Badan Usaha SBU4.	Memiliki Sertifikat Badan Usaha SBU dengan Kualifikasi Usaha Besar, serta disyaratkan sub bidang klasifikasilayanan Jasa Pelaksana Konstruksi Saluran Air, Pelabuhan, Dam, dan Prasarana Sumber Daya Air Lainnya SI001 KBLI 2015 atau Subklasifikasi Konstruksi Bangunan Prasarana Sumber Daya Air BS010 KBLI 2020 dan yang masih berlakuMempunyai status valid keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak.Secara hukum mempunyai kapasitas untuk mengikatkan diri pada Kontrak yang dibuktikan dengan:1) Akta Pendirian Perusahaan dan/atau perubahannya;2) Surat Kuasa (apabila dikuasakan);3) Bukti bahwa yang diberikan kuasa merupakan pegawai tetap (apabila dikuasakan); dan4) Kartu Tanda Penduduk.Menyetujui Pernyataan Pakta Integritas.Menyetujui Surat Pernyataan PesertaPersyaratan Kualifikasi LainMemiliki Nomor NPWP dengan status keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak ValidPersyaratan Kualifikasi LainMemiliki akta pendirian perusahaan dan akta perubahan perusahaan apabila ada perubahanPersyaratan Kualifikasi LainTidak masuk dalam Daftar Hitam, keikutsertaannya tidak menimbulkan pertentangan kepentingan pihak yang terkait, tidak dalam pengawasan pengadilan, tidak pailit, kegiatan usahanya tidak sedang dihentikan danatau yang bertindak untuk dan atas nama Badan Usaha tidak sedang dalam menjalani  sanksi pidana, dan pengurus pegawai tidak berstatus Aparatur Sipil Negara, kecuali yang bersangkutan mengambil cuti diluar tanggungan NegaraPersyaratan Kualifikasi LainMemenuhi ketentuan dalam Dokumen KualifikasiPersyaratan Kualifikasi LainApabila alokasi dalam dokumen anggaran DIPA  yang disahkan tidak tersedia danatau tidak  mencukupi, maka Pengadaan BarangJasa  dibatalkan dan Penyedia BarangJasa tidak dapat  menuntut ganti rugi dalam bentuk apapun. - Apabila persetujuan Kontrak tahun jamak tidak  disetujui oleh Pejabat yang berwenang sesuai  ketentuan peraturan perundangan, maka  tenderseleksi dibatalkan dan peserta tenderseleksi  tidak mendapat ganti rugi dalam bentuk apapunPersyaratan Kualifikasi TeknisMemiliki pengalaman paling kurang 
             Pekerjaan Konstruksi dalam kurun waktu 4 (empat) tahun terakhir, baik di lingkungan pemerintah atau swasta termasuk pengalaman subkontrak.Memperhitungkan Sisa Kemampuan Paket (SKP).Untuk Kualifikasi Usaha Menengah atau Usaha Besar, memiliki Kemampuan Dasar (KD) dengan nilai KD sama dengan 3 x NPt (Nilai pengalaman tertinggi dalam 15 (lima belas) tahun terakhir)Memiliki Sertifikat Manajemen Mutu, Sertifikat Manajemen Lingkungan, serta Sertifikat Keselamatan dan Kesehatan Kerja, hanya disyaratkan untuk Pekerjaan Konstruksi yang bersifat Kompleks/Berisiko Tinggi dan/atau diperuntukkan bagi Kualifikasi Usaha Besar.Syarat Kualifikasi Teknis Lainuntuk kualifikasi Usaha Besar, pengalaman pekerjaan pada sub bidang klasifikasilayanan SBU yang disyaratkan dan lingkup pekerjaan pekerjaan Pembangunan BendunganWaduk dengan Inti Aspal yang sesuai dengan persyaratan dalam kurun waktu 15 tahun terakhir.Syarat Kualifikasi Teknis LainNilai KD paling kurang sama dengan HPS.Syarat Kualifikasi Teknis LainMemenuhi Ketentuan dalam Dokumen Kualifikasi",,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10128952000/pengumumanlelang,2026-06-14 09:22
10135308000,Pekerjaan Penanganan Rembesan Bendungan Tamblang di kabupaten buleleng; 1 Unit; 0 Juta M3; F; K; MYC,66408078,Pekerjaan Konstruksi,Bendungan,Pekerjaan Konstruksi,Tender,Prakualifikasi Dua File,Tender - Prakualifikasi Dua File - Harga Terendah Ambang Batas,Harga Terendah Ambang Batas,Harga Satuan,Besar,2026,2026,APBN 2026,Tidak Ada Jadwal,122964156000.0,123000000000.0,,,100.03,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-05-11,,,,,"Persyaratan Kualifikasi Administrasi/LegalitasMemenuhi ketentuan peraturan perundang-undangan untuk menjalankan kegiatan/usaha.Jenis IzinBidang Usaha/Sub Bidang Usaha/Klasifikasi/Sub KlasifikasiMemiliki Nomor Induk Berusaha NIB dan Sertifikat Standar terverifikasi untuk Badan Usaha yang memiliki SBU KBLI 2020sesuai ketentuan yang berlakuSertifikat Badan Usaha SBU4.	Memiliki Sertifikat Badan Usaha SBU dengan Kualifikasi Usaha Besar, serta disyaratkan sub bidang klasifikasilayanan Jasa Pelaksana Konstruksi Saluran Air, Pelabuhan, Dam, dan Prasarana Sumber Daya Air Lainnya SI001 KBLI 2015 atau Subklasifikasi Konstruksi Bangunan Prasarana Sumber Daya Air BS010 KBLI 2020 dan yang masih berlakuMempunyai status valid keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak.Secara hukum mempunyai kapasitas untuk mengikatkan diri pada Kontrak yang dibuktikan dengan:1) Akta Pendirian Perusahaan dan/atau perubahannya;2) Surat Kuasa (apabila dikuasakan);3) Bukti bahwa yang diberikan kuasa merupakan pegawai tetap (apabila dikuasakan); dan4) Kartu Tanda Penduduk.Menyetujui Pernyataan Pakta Integritas.Menyetujui Surat Pernyataan PesertaPersyaratan Kualifikasi LainMemiliki Nomor NPWP dengan status keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak ValidPersyaratan Kualifikasi LainMemiliki akta pendirian perusahaan dan akta perubahan perusahaan apabila ada perubahanPersyaratan Kualifikasi LainTidak masuk dalam Daftar Hitam, keikutsertaannya tidak menimbulkan pertentangan kepentingan pihak yang terkait, tidak dalam pengawasan pengadilan, tidak pailit, kegiatan usahanya tidak sedang dihentikan danatau yang bertindak untuk dan atas nama Badan Usaha tidak sedang dalam menjalani  sanksi pidana, dan pengurus pegawai tidak berstatus Aparatur Sipil Negara, kecuali yang bersangkutan mengambil cuti diluar tanggungan NegaraPersyaratan Kualifikasi LainMemenuhi ketentuan dalam Dokumen KualifikasiPersyaratan Kualifikasi LainApabila alokasi dalam dokumen anggaran DIPA  yang disahkan tidak tersedia danatau tidak  mencukupi, maka Pengadaan BarangJasa  dibatalkan dan Penyedia BarangJasa tidak dapat  menuntut ganti rugi dalam bentuk apapun. - Apabila persetujuan Kontrak tahun jamak tidak  disetujui oleh Pejabat yang berwenang sesuai  ketentuan peraturan perundangan, maka  tenderseleksi dibatalkan dan peserta tenderseleksi  tidak mendapat ganti rugi dalam bentuk apapunPersyaratan Kualifikasi TeknisMemiliki pengalaman paling kurang 
             Pekerjaan Konstruksi dalam kurun waktu 4 (empat) tahun terakhir, baik di lingkungan pemerintah atau swasta termasuk pengalaman subkontrak.Memperhitungkan Sisa Kemampuan Paket (SKP).Untuk Kualifikasi Usaha Menengah atau Usaha Besar, memiliki Kemampuan Dasar (KD) dengan nilai KD sama dengan 3 x NPt (Nilai pengalaman tertinggi dalam 15 (lima belas) tahun terakhir)Memiliki Sertifikat Manajemen Mutu, Sertifikat Manajemen Lingkungan, serta Sertifikat Keselamatan dan Kesehatan Kerja, hanya disyaratkan untuk Pekerjaan Konstruksi yang bersifat Kompleks/Berisiko Tinggi dan/atau diperuntukkan bagi Kualifikasi Usaha Besar.Syarat Kualifikasi Teknis Lainuntuk kualifikasi Usaha Besar, pengalaman pekerjaan pada sub bidang klasifikasi layanan SBU yang disyaratkan dan lingkup pekerjaan pekerjaan Pembangunan Bendungan Waduk dengan Inti Aspal yang sesuai dengan persyaratan dalam kurun waktu 15 tahun terakhir.Syarat Kualifikasi Teknis LainNilai KD paling kurang sama dengan HPS.Syarat Kualifikasi Teknis LainMemenuhi Ketentuan dalam Dokumen Kualifikasi",,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10135308000/pengumumanlelang,2026-06-14 09:21
10129011000,Penyempurnaan Hidromekanikal Bendungan Titab di Kab Buleleng; 1 Unit; 0 Juta M3; F; K; SYC,66365412,Pekerjaan Konstruksi,Bendungan,Pekerjaan Konstruksi,Tender,Pascakualifikasi Satu File,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Harga Terendah Sistem Gugur,Harga Satuan,Menengah,2026,2026,APBN 2026,Tender Gagal,20000000000.0,19900000000.0,,,99.5,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-04-17,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10129011000/pengumumanlelang,2026-06-14 09:22
10135927000,Penyempurnaan Hidromekanikal Bendungan Titab di Kab Buleleng; 1 Unit; 0 Juta M3; F; K; SYC,66365412,Pekerjaan Konstruksi,Bendungan,Pekerjaan Konstruksi,Tender,Pascakualifikasi Satu File,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,Harga Terendah Sistem Gugur,Harga Satuan,Menengah,2026,2026,APBN 2026,Tender Sudah Selesai,20000000000.0,19900000000.0,,,99.5,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-05-13,,,,,,,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10135927000/pengumumanlelang,2026-06-14 09:21
10124563000,Supervisi Pekerjaan Penanganan Rembesan Bendungan Tamblang di kabupaten buleleng; 1 Dokumen; 1 Dokumen; NF; K; MYC,66141972,Jasa Konsultansi Konstruksi,Bendungan,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi,Prakualifikasi Dua File,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,Kualitas dan Biaya,Waktu Penugasan,,2026,2026,APBN 2026,Tidak Ada Jadwal,6377000000.0,6400000000.0,,,100.36,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-03-31,,,,,"Persyaratan Kualifikasi Administrasi/LegalitasMemenuhi ketentuan peraturan perundang-undangan untuk menjalankan kegiatan/usaha.Perizinan Berusaha1. Memenuhi ketentuan peraturan  perundang-undangan untuk menjalankan kegiatanusaha a. peserta yang berbadan usaha harus memiliki perizinan berusaha di bidang jasa Konstruksi, berupa 1 Memiliki Nomor Induk  Berusaha NIB dan Sertifikat Standar terverifikasi untuk Badan Usaha yang memiliki SBU KBLI 2020  2 dalam hal Sertifikat Standar sebagaimana dimaksud pada angka 1 belum terverifikasi, peserta menyampaikan NIB, Sertifikat Standar belum terverifikasi dan tangkapan layar laman OSS yang mencantumkan bahwa Sertifikat Standar sedang menunggu verifikasi atau  3 Memiliki Nomor Induk Berusaha NIB dan SBU yang masih berlaku untuk Badan Usaha yang memiliki SBU KBLI 2017Sertifikat Badan Usaha SBUMemiliki Sertifikat Badan Usaha SBU dengan Kualifikasi Usaha Besar serta disyaratkan subklasifikasi Jasa Pengawasan Pekerjaan Konstruksi Teknik Sipil Air RE203 KBLI 2017 atau subklasifikasi Jasa Rekayasa Pekerjaan Teknik Sipil Sumber Daya Air RK002 KBLI 2020Mempunyai status valid keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak.Secara hukum mempunyai kapasitas untuk mengikatkan diri pada Kontrak yang dibuktikan dengan:1) Akta Pendirian Perusahaan dan/atau perubahannya;2) Surat Kuasa (apabila dikuasakan);3) Bukti bahwa yang diberikan kuasa merupakan pegawai tetap (apabila dikuasakan); dan4) Kartu Tanda Penduduk.Menyetujui Pernyataan Pakta Integritas.Menyetujui Surat pernyataan Peserta yang berisi:1) yang bersangkutan dan manajemennya tidak dalam pengawasan pengadilan, tidak pailit, dan kegiatan usahanya tidak sedang dihentikan;2) badan usaha tidak sedang dikenakan sanksi daftar hitam;3) yang bertindak untuk dan atas nama badan usaha tidak sedang dalam menjalani sanksi daftar hitam lain;4) keikutsertaan yang bersangkutan tidak menimbulkan pertentangan kepentingan;5) yang bertindak untuk dan atas nama badan usaha tidak sedang dalam menjalani sanksi pidana;6) pimpinan dan pengurus badan usaha bukan sebagai pegawai Kementerian/Lembaga/Perangkat Daerah atau pimpinan dan pengurus badan usaha sebagai pegawai Kementerian/Lembaga/Perangkat Daerah yang sedang mengambil cuti diluar tanggungan Negara;7) pernyataan lain yang menjadi syarat kualifikasi yang tercantum dalam Dokumen Pemilihan;8) data kualifikasi yang diisikan dan dokumen penawaran yang disampaikan benar, dan jika dikemudian hari ditemukan bahwa data/dokumen yang disampaikan tidak benar dan ada pemalsuan maka peserta bersedia dikenakan sanksi administratif, sanksi pencantuman dalam daftar hitam, gugatan secara perdata, dan/atau pelaporan secara pidana kepada pihak berwenang sesuai dengan ketentuan peraturan perundang undangan.Persyaratan Kualifikasi LainDalam hal Peserta melakukan Kemitraan harus mempunyai perjanjian KemitraanPersyaratan Kualifikasi LainApabila alokasi dalam dokumen anggaran DIPA yang disahkan tidak tersedia dan atau tidak mencukupi, maka pengadaan Barang Jasa dibatalkan dan penyedia barang jasa tidak dapat menuntut ganti rugi dalam bentuk apapunPersyaratan Kualifikasi LainMemenuhi syarat dan ketentuan dalam Dokumen Pemilihan Dokumen KualifikasiPersyaratan Kualifikasi TeknisSyarat Kualifikasi Teknis LainMemiliki pengalaman mengerjakan pekerjaan sejenisSyarat Kualifikasi Teknis LainEvaluasi persyaratan pengalaman Badan Usaha dilakukan apabila pengalaman tersebut tercantum dalam SIMPAN sebelum batas akhir pemasukan data kualifikasi.Syarat Kualifikasi Teknis LainDalam hal peserta melakukan KSO, maka  setiap perusahaan yang tergabung dalam KSO harus memenuhi persyaratan kualifikasi administrasi legalitas sebagaimana dimaksud pada poin A, kecuali angka 1 huruf b.   Persyaratan memiliki Sertifikat Badan Usaha SBU sebagaimana dimaksud poin A angka 1 huruf b dilakukan secara saling melengkapi oleh seluruh anggota KSO dan setiap anggota KSO harus memiliki salah satu SBU yang disyaratkan.Syarat Kualifikasi Teknis LainMemenuhi syarat dan ketentuan dalam Dokumen Kualifikasi",,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10124563000/pengumumanlelang,2026-06-14 09:22
10117681000,Supervisi Penyempurnaan Hidromekanikal Bendungan Titab di Kab Buleleng; 1 Dokumen; 1 Dokumen; NF; K; SYC,64711432,Jasa Konsultansi Konstruksi,Bendungan,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi,Prakualifikasi Dua File,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,Kualitas dan Biaya,Waktu Penugasan,,2026,2026,APBN 2026,Seleksi Gagal,2000000000.0,2000000000.0,,,100.0,,Kementerian  Pekerjaan Umum,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,694144 / SNVT PEMBANGUNAN BENDUNGAN BWS BALI  PENIDA,Bali,Buleleng,KAB. BULELENG - Buleleng (Kab.),2026-02-24,,,,,"Persyaratan Kualifikasi Administrasi/LegalitasMemenuhi ketentuan peraturan perundang-undangan untuk menjalankan kegiatan/usaha.Perizinan Berusahaa.	peserta yang berbadan usaha harus memiliki perizinan berusaha di bidang jasa konstruksi, berupa 1	Memiliki Nomor Induk Berusaha NIB dan Sertifikat Standar terverifikasi untuk Badan Usaha yang memiliki SBU KBLI 2020 2	Dalam hal Sertifikat Standar sebagaimana dimaksud pada angka 1 belum terverifikasi, peserta menyampaikan NIB, Sertifikat Standar belum terverifikasi dan tangkapan layer laman OSS yang mencantumkan bahwa Sertifikat Standar sedang menunggu verifikasi atau 3	Memiliki Nomor Induk Berusaha NIB dan SBU yang masih berlaku untuk Badan Usaha yang memiliki SBU KBLI 2017Sertifikat Badan Usaha SBUb.	Memiliki Sertifikat Badan Usaha SBU dengan Kualifikasi Usaha Menengah  serta disyaratkan sub bidang klasifikasi layanan KBLI 2017 - Jasa Pengawasan Pekerjaan Konstruksi Teknik Sipil Air RE203 atau KBLI 2020 - Jasa Rekayasa Pekerjaan Teknik Sipil Sumber Daya Air RK002.Mempunyai status valid keterangan Wajib Pajak berdasarkan hasil Konfirmasi Status Wajib Pajak.Secara hukum mempunyai kapasitas untuk mengikatkan diri pada Kontrak yang dibuktikan dengan:1) Akta Pendirian Perusahaan dan/atau perubahannya;2) Surat Kuasa (apabila dikuasakan);3) Bukti bahwa yang diberikan kuasa merupakan pegawai tetap (apabila dikuasakan); dan4) Kartu Tanda Penduduk.Menyetujui Pernyataan Pakta Integritas.Menyetujui Surat pernyataan Peserta yang berisi:1) yang bersangkutan dan manajemennya tidak dalam pengawasan pengadilan, tidak pailit, dan kegiatan usahanya tidak sedang dihentikan;2) badan usaha tidak sedang dikenakan sanksi daftar hitam;3) yang bertindak untuk dan atas nama badan usaha tidak sedang dalam menjalani sanksi daftar hitam lain;4) keikutsertaan yang bersangkutan tidak menimbulkan pertentangan kepentingan;5) yang bertindak untuk dan atas nama badan usaha tidak sedang dalam menjalani sanksi pidana;6) pimpinan dan pengurus badan usaha bukan sebagai pegawai Kementerian/Lembaga/Perangkat Daerah atau pimpinan dan pengurus badan usaha sebagai pegawai Kementerian/Lembaga/Perangkat Daerah yang sedang mengambil cuti diluar tanggungan Negara;7) pernyataan lain yang menjadi syarat kualifikasi yang tercantum dalam Dokumen Pemilihan;8) data kualifikasi yang diisikan dan dokumen penawaran yang disampaikan benar, dan jika dikemudian hari ditemukan bahwa data/dokumen yang disampaikan tidak benar dan ada pemalsuan maka peserta bersedia dikenakan sanksi administratif, sanksi pencantuman dalam daftar hitam, gugatan secara perdata, dan/atau pelaporan secara pidana kepada pihak berwenang sesuai dengan ketentuan peraturan perundang undangan.Persyaratan Kualifikasi LainDalam hal Peserta melakukan Kemitraan harus mempunyai perjanjian KemitraanPersyaratan Kualifikasi LainApabila alokasi dalam dokumen anggaran DIPA yang disahkan tidak tersedia dan atau tidak mencukupi, maka pengadaan Barang Jasa dibatalkan dan penyedia barang jasa tidak dapat menuntut ganti rugi dalam bentuk apapunPersyaratan Kualifikasi LainMemenuhi syarat dan ketentuan dalam Dokumen Pemilihan Dokumen KualifikasiPersyaratan Kualifikasi Teknisa)  memiliki pengalaman paling kurang 1 (satu) pekerjaan Jasa Konsultansi Konstruksi dalam kurun waktu 4 (empat) tahun terakhir, baik di lingkungan pemerintah maupun swasta termasuk pengalaman subkontrak.b)  memiliki pengalaman mengerjakan pekerjaan sejenis:(1)  untuk pekerjaan Usaha Kecil berdasarkan subklasifikasi; atau(2) untuk pekerjaan Usaha Menengah atau Usaha Besar, pekerjaan sejenis   berdasarkan subklasifikasi atau berdasarkan lingkup pekerjaan.memiliki pengalaman mengerjakan pekerjaan sejenis dalam waktu 10 (sepuluh) tahun terakhir.Syarat Kualifikasi Teknis LainMemiliki pengalaman mengerjakan pekerjaan sejenisSyarat Kualifikasi Teknis LainEvaluasi persyaratan pengalaman Badan Usaha dilakukan apabila pengalaman tersebut tercantum dalam SIMPAN sebelum batas akhir pemasukan data kualifikasi.Syarat Kualifikasi Teknis LainDalam hal peserta melakukan KSO, maka  setiap perusahaan yang tergabung dalam KSO harus memenuhi persyaratan kualifikasi administrasi legalitas sebagaimana dimaksud pada poin A, kecuali angka 1 huruf b.   Persyaratan memiliki Sertifikat Badan Usaha SBU sebagaimana dimaksud poin A angka 1 huruf b dilakukan secara saling melengkapi oleh seluruh anggota KSO dan setiap anggota KSO harus memiliki salah satu SBU yang disyaratkan.Syarat Kualifikasi Teknis LainMemenuhi syarat dan ketentuan dalam Dokumen Kualifikasi",,LPSE Kementerian PUPR,https://spse.inaproc.id/pu/lelang/10117681000/pengumumanlelang,2026-06-14 09:24
